name,collaborative,pid,modified_at,num_tracks,num_albums,num_followers
Cody,false,713,1433635200,83,53,1
tbd,false,502,1496620800,52,45,1
boris,false,357,1509148800,161,151,1
take me back,false,623,1505347200,53,50,2
Pump up,false,984,1509494400,203,150,1
Throwbacks,false,717,1506643200,56,55,1
Pearl Jam,false,918,1383955200,162,12,1
new stuff,false,469,1509148800,62,20,1
hey,false,965,1482192000,97,47,1
FNAF,false,515,1490745600,36,24,2
explicit,false,822,1506384000,165,107,1
Country Mix,false,837,1426032000,18,18,1
2012,false,97,1346457600,233,56,1
sunday,false,902,1505088000,42,36,1
I Put A Spell On You,false,6,1477094400,16,15,1
high,false,182,1509321600,171,142,5
Vibe,false,298,1508457600,49,32,1
Instrumental,false,503,1505260800,25,18,2
Punk,false,465,1508544000,140,69,2
Classical,false,956,1425168000,75,32,1
Lit,false,907,1507852800,113,103,1
mixtape,false,306,1508716800,29,16,1
Party,false,455,1508112000,45,42,1
ğŸ¤˜ğŸ¼,false,145,1493078400,46,38,1
Pitch Perfect,false,792,1407196800,16,3,1
rap god,false,257,1397001600,37,25,1
DIEGO$,false,434,1448668800,100,67,1
mix ,false,323,1466726400,30,22,1
chill,false,67,1509148800,8,8,1
Chill Songs,false,509,1509408000,85,73,3
nashville,false,947,1468800000,10,10,1
ğŸ’›ğŸ’›,false,559,1494547200,238,194,1
chill beats,false,287,1474243200,26,20,1
ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½,false,340,1476489600,23,17,1
Chill music ,false,346,1505433600,12,12,2
motown,false,166,1466467200,55,51,7
Studying,false,376,1476662400,88,77,1
Christmas,false,783,1450915200,17,11,1
Wave,false,627,1508976000,58,52,1
Hyphy,false,449,1463961600,16,15,1
Lent,false,604,1398384000,23,22,1
car playlist,false,300,1505692800,17,16,1
summer 2k17,false,669,1504656000,59,57,2
Bang Bang ,false,157,1491609600,22,22,1
country,false,732,1508630400,14,11,1
Zoned,false,86,1470355200,42,31,1
Country,false,606,1478390400,114,81,1
I like these songs,false,864,1393113600,72,69,1
Wedding,false,222,1425427200,17,17,1
mine,false,924,1501977600,103,56,1
Best of 2016,false,731,1482192000,104,75,1
TBT,false,250,1422748800,31,30,1
vibin',false,542,1505520000,68,63,1
chill time,false,693,1508630400,74,64,2
WORSHIP,false,424,1448236800,122,89,1
CHRISTMAS MUSIC,false,488,1479081600,36,36,1
Worship ,false,296,1508198400,35,31,11
regaton ,false,501,1496793600,28,19,1
petrichor,false,919,1501891200,48,45,1
Rap Classics,false,170,1476144000,52,42,1
Worship,false,518,1483660800,14,13,1
Wedding Cocktail Hour,true,702,1405987200,23,21,1
My favorites,false,448,1509408000,26,24,1
Go To,false,392,1408838400,88,78,1
Lifting ,false,659,1491350400,164,126,1
Awesome,false,909,1454803200,14,10,1
Favorite Songs,false,362,1508630400,236,163,1
english,false,845,1431302400,12,12,1
Sunny Days,false,599,1468627200,15,15,1
Chill,false,386,1483833600,23,22,1
ELECTRONICAS,false,877,1508803200,85,82,1
Roadtrip,false,419,1504137600,121,110,1
CHRISTMAS,false,370,1505520000,44,33,2
run 2,false,882,1444780800,6,6,1
Baby shower,false,922,1478822400,12,12,1
Music.,false,429,1428019200,41,36,7
Drank,false,253,1482969600,78,69,4
Running 2,false,46,1434412800,11,11,1
OD,false,438,1509148800,92,84,1
party,false,707,1455667200,10,10,1
VIBE,false,11,1365379200,134,117,1
All the songs,false,120,1444521600,103,70,1
New Songs,false,15,1432684800,7,5,1
in my feels,false,405,1509235200,214,168,1
rap,false,642,1506643200,104,80,1
Killin' It,true,132,1487116800,10,10,1
older songs,false,555,1492473600,55,55,1
chill,false,852,1431993600,49,49,1
ouch,false,155,1479168000,24,20,1
kitchen,false,756,1499040000,18,18,1
Legendary,false,280,1436832000,55,46,1
Reggae,false,553,1492560000,215,106,2
Take Me Back,false,654,1496361600,44,43,5
Chill Alternative,true,184,1430697600,50,42,1
broadway,false,297,1482364800,81,7,1
2016,false,843,1508025600,221,193,3
Smooth,false,420,1506902400,109,35,1
recommendations !! ,false,665,1505606400,61,54,2
Isis,false,489,1488672000,59,42,1
recovery,false,870,1457308800,47,41,1
